cig,label,score_raw_final,score_calib_final
011759741C,,0.003203247138752366,0.35700062902914814
0080520F30,,0.07229962776818556,0.4032198988457146
01175258B0,,0.0036828889059275565,0.357313549252155
01129243D4,1.0,0.30857942828983403,0.5693819406591578
01088788F5,,0.00365020034062687,0.3572922192324585
0116863664,,0.0031861691133219724,0.35698948950356213
0116685381,,0.05467844673151056,0.3912316960420915
01188920C8,,0.010568500527911282,0.3618190588948378
0120704815,,0.012572466838738252,0.3631349467960926
0120751EDC,,0.24446493089171098,0.5242675550179646
0125636E17,,0.007297846787088849,0.3596758629752689
0430761338,,0.006821380084301734,0.35936410779445194
0430694BEB,,0.010756582755423929,0.3619424738007936
00836917FD,1.0,0.7633526555568735,0.8280090934888104
01248315CB,,0.017173592933031345,0.3661639780324943
01203514C8,,0.09924804445803528,0.4217748086534785
0124665CCC,,0.0010554148522579378,0.35560087344054425
04307011B5,,0.003538652536277237,0.3572194360538156
013102091D,,0.007351748282573257,0.35971113852894626
0128398560,,0.004626620916599455,0.3579295990033534
0134148E6A,,0.06294260360885917,0.3968386607661571
0142633877,,0.036247686012742655,0.3788318503546872
013964892A,,0.0021133659115485895,0.3562900398502809
0136183DC0,,0.002434874335531573,0.3564995937673521
0142004168,,0.0021934279153735152,0.35634221780930336
013150160D,,0.027294941448254922,0.3728641858806957
469885951C,,0.004075296171097836,0.3575696478787261
0136763C62,,0.00847864728030097,0.3604489783944563
0127654F65,,0.007433441403518941,0.35976460505733454
0137049867,,0.004910082095249626,0.35811472868438193
01485982F2,,0.009992049992524635,0.3614409199081817
015337590B,,0.005425390503779342,0.3584513871242088
0146005721,,0.007115641492975774,0.35955663089485007
01267315B9,,0.003155063381302954,0.35696920048863046
0109226823,,0.020208964642124058,0.3681680617641976
0146599152,,0.023450959337993016,0.37031360460943497
015080610C,1.0,0.8057815011863303,0.8445060985043836
0152078AB9,,0.010784958599577734,0.3619610949094577
0149441A9A,,0.022460702737093847,0.3696577078148284
01445706EE,,0.018128094791664325,0.3667936860847507
0315554365,,0.018005999008788444,0.3667131111057324
0125982B9F,,0.004462105383130473,0.35782217264666305
0145053584,,0.002982851666158495,0.35685688301324453
01483473D0,,0.0025459271784220106,0.3565719889606951
0431292968,,0.0035958373556548066,0.3572567474215607
0154665198,,0.006395845106640672,0.35908577790094587
0140785374,,0.005594321281543718,0.3585617824390835
0140883453,,0.008117022018071322,0.3602121313495278
0430987DB5,,0.004473272595117516,0.3578294642292389
01580467AD,,0.002987001536290449,0.35685958939755286
0173776C7A,,0.008252631838677714,0.3603009412513978
0164122DBE,,0.011202357032639635,0.3622350525711217
0158814175,,0.0015932498550983228,0.35595115325900034
0159444957,,0.0030012984249396485,0.3568689133436468
01307298F9,,0.06649042952553841,0.399254180087079
0150283174,1.0,0.6184367569758724,0.7612962616532488
01610441B6,,0.0026326109017759947,0.3566285025133352
0166837E3B,,0.030306519954541315,0.37486740790961354
01170039EB,,0.050050929437005225,0.38810446694992834
0161057C6D,,0.005790898651274374,0.3586902635180764
0163344BB8,,0.04307477076101104,0.38340749068275565
0164727105,,0.0024515582540147376,0.3565104695721031
04308615BD,,0.010210535243744044,0.36158422129702295
0157899E5C,,0.0036436992585274783,0.3572879771984514
01636063F0,,0.001980575927621367,0.3562035055674823
01508250BA,,0.014777439570739015,0.36458519510842424
01600605AF,,0.006694881242578986,0.35928135873235406
0153789EAE,,0.014422636225506076,0.3643516680201841
01693800CC,,0.302585385616584,0.5652010260872823
0172500F7C,,0.0028109370256267888,0.35674477498470464
0144870E7D,,0.0022766510453812202,0.3563964595508127
01787537A2,,0.018258837576059353,0.36687997575894615
017925885F,,0.008736755811824412,0.36061806854571693
01694022F3,,0.00597502969453849,0.3588106281966077
016521106E,,0.1440263156983043,0.4530752564829181
0094698342,,0.005777154156285933,0.3586812795885628
0169223F38,,0.0054392629637476176,0.35846045213369593
0178952BD9,,0.003360489561945441,0.3571032011944108
01713602BE,,0.004406264180670605,0.35778571236311074
0177747974,,0.01630660376504523,0.3655924002480166
01607173DC,,0.013112891467735218,0.3634901642713324
0178991C08,,0.021217630953312184,0.3688350398396972
018024460C,,0.04695458145690846,0.3860171035714762
0175787803,,0.004083370985718466,0.35757491863824786
01446286CB,,0.027279167307235674,0.3728537047522878
018142764A,,0.016832673705214875,0.36593917600818276
0188569C0C,,0.008482291714159151,0.36045136566819286
0184321A7D,,0.04809734887699982,0.3867870022727499
0187246847,,0.0015980317674663238,0.35595426830309235
0145608F81,,0.0014996628121953432,0.3558901910323395
0191362CE7,,0.0034365591152538907,0.3571528274844476
01844103F1,,0.014619426279602872,0.36448118487068876
0183798AE5,,0.0025670898483466757,0.356585785619205
0182659EF5,,0.0057211094464790935,0.3586446476416057
0188553ED7,,0.02200792339180256,0.3693579693626369
0192579935,,0.0023525324047036777,0.3564459194102147
0182174EB9,,0.1307309521178445,0.4437313200893778
0189415632,,0.004242994854613535,0.3576791186918946
0172653DBF,,0.026656305670654627,0.3724399398994045
019525270A,,0.0055512918795629545,0.35853366154313726
0185845424,,0.047948228281837105,0.38668650540283067
018823044E,,0.018660271437797703,0.36714497369423904
0185712662,,0.05466220513568752,0.3912207043359987
01909118BB,,0.0025209605912571826,0.3565557127062017
0430944A3A,,0.004578854922001666,0.3578984070022506
0188069F6E,,0.015904928760536702,0.36532771715535195
0176386653,,0.003759972703154874,0.3573638503918125
0203326DE8,,0.006680796881266395,0.3592721459824886
01879247C8,,0.005864978746573656,0.3587386868194184
0182150AEC,,0.003879472042749783,0.3574418360659137
018103961A,,0.005605083114738055,0.35856881574469396
018268546D,,0.0063896556138985,0.3590817302354098
0197722D57,,0.019326127241023783,0.3675847011528288
0201492474,,0.002253504237721046,0.35638137295239664
0195192587,,0.0021745642842681294,0.3563299237082787
0126623C97,,0.013904328648964865,0.36401063932663574
0197383599,,0.0029849526491593824,0.35685825319170944
0193836685,,0.0019437570062158438,0.3561795137113473
0198417AE0,,0.004390925857418366,0.3577756978307311
